timestamp,open,high,low,close,volume
1607299200000,83.54,86.87,81.73,83.37,1145446.47407
1607385600000,83.37,84.83,75.41,76.76,1230953.86975
1607472000000,76.75,78.14,72.13,77.41,1378314.59353
1607558400000,77.41,77.66,72.51,74.7,900570.5582
1607644800000,74.77,75.09,69.87,72.2,1484095.85234
1607731200000,72.2,77.58,71.97,76.67,872394.12884
1607817600000,76.64,84.38,75.52,82.28,1278882.98328
1607904000000,82.27,82.98,79.11,82.35,1102081.73026
1607990400000,82.38,84.93,80.39,81.32,1348469.20889
1608076800000,81.36,93.44,78.31,92.94,2349124.19924
1608163200000,92.94,109.8,90.0,101.01,4161454.89253
1608249600000,100.99,112.88,99.24,109.34,3141671.53609
1608336000000,109.34,124.24,105.31,119.85,2753360.19971
1608422400000,119.85,123.21,109.76,114.58,2671305.32839
1608508800000,114.59,118.65,100.31,104.45,2599527.81365
1608595200000,104.48,114.63,98.35,114.32,3210319.32528
1608681600000,114.31,117.29,95.23,102.45,3923591.07434
1608768000000,102.46,112.32,98.55,111.13,2696980.51697
1608854400000,111.13,128.63,108.18,127.78,3117913.94898
1608940800000,127.74,135.19,124.94,129.61,3461075.6473
1609027200000,129.61,139.47,121.88,127.88,3743173.13001
1609113600000,127.83,137.41,126.37,129.83,2349842.95502
1609200000000,129.84,130.9,120.0,128.8,1732248.38409
1609286400000,128.8,133.11,122.63,130.05,1727676.641
1609372800000,130.06,130.35,121.98,124.21,1248723.03424
1609459200000,124.22,133.97,122.89,126.24,1539801.80815
1609545600000,126.2,142.0,123.15,136.96,2442266.765
1609632000000,136.94,164.7,135.3,161.24,3813834.07669
1609718400000,161.23,173.66,139.31,155.34,3530422.20392
1609804800000,155.33,162.8,146.52,158.43,1998205.92425
1609891200000,158.46,169.72,154.95,168.92,1857831.43166
1609977600000,168.96,181.22,161.18,169.35,2493533.9948
1610064000000,169.35,181.92,150.0,172.19,2843159.7034
1610150400000,172.28,178.8,163.3,177.26,1749781.84973
1610236800000,177.27,185.83,161.86,170.07,2269705.0446
1610323200000,170.06,170.74,112.7,138.87,5019816.79975
1610409600000,138.88,146.86,128.0,133.42,2825579.61257
1610496000000,133.44,148.46,125.9,147.38,2153426.27798
